"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","246","test_get_pets_by_status","tests","Wed Oct 08 19:27:58 UTC 2025","passed","Wed Oct 08 19:27:59 UTC 2025","","test_pet_api","",""
"","122","test_find_pet_by_id","tests","Wed Oct 08 19:27:59 UTC 2025","passed","Wed Oct 08 19:27:59 UTC 2025","","test_pet_api","",""
"","195","test_upload_pet_image","tests","Wed Oct 08 19:28:04 UTC 2025","passed","Wed Oct 08 19:28:05 UTC 2025","","test_pet_api","",""
"","55","test_create_first_order","tests","Wed Oct 08 19:28:05 UTC 2025","passed","Wed Oct 08 19:28:05 UTC 2025","","test_store_api","",""
"","248","test_delete_purchase_order_by_id","tests","Wed Oct 08 19:28:05 UTC 2025","passed","Wed Oct 08 19:28:05 UTC 2025","","test_store_api","",""
"","327","test_update_pet","tests","Wed Oct 08 19:27:58 UTC 2025","passed","Wed Oct 08 19:27:58 UTC 2025","","test_pet_api","",""
"","111","test_find_store_order_by_id","tests","Wed Oct 08 19:28:05 UTC 2025","passed","Wed Oct 08 19:28:05 UTC 2025","","test_store_api","",""
"","477","test_add_pet","tests","Wed Oct 08 19:27:58 UTC 2025","passed","Wed Oct 08 19:27:58 UTC 2025","","test_pet_api","",""
"","1921","test_delete_pet","tests","Wed Oct 08 19:28:02 UTC 2025","passed","Wed Oct 08 19:28:04 UTC 2025","","test_pet_api","",""
"","3523","test_update_pet_with_form","tests","Wed Oct 08 19:27:59 UTC 2025","passed","Wed Oct 08 19:28:02 UTC 2025","","test_pet_api","",""
"","283","test_get_store_inventory","tests","Wed Oct 08 19:28:05 UTC 2025","passed","Wed Oct 08 19:28:05 UTC 2025","","test_store_api","",""
